age,gender,education,county,employment_status,years_experience,job_applications,months_unemployed,unemployment_barrier,description,recommended_intervention
21,Female,Bachelor,Nakuru,Student,8,45,13,Market_Mismatch,My Bachelor qualification doesn't match what employers want,Industry transition program
24,Female,Bachelor,Nairobi,Unemployed,9,34,26,Resource_Constraints,I can't afford the transportation costs for interviews,Business incubation
20,Male,Secondary,Machakos,Employed,11,7,23,Resource_Constraints,The cost of living while job hunting is too high,Startup capital support
22,Male,Bachelor,Nairobi,Unemployed,5,38,17,Resource_Constraints,I lack resources to continue searching for jobs,Startup capital support
22,Female,Secondary,Nakuru,Unemployed,0,13,29,Geographic_Barrier,Jobs in my field are only available far from where I live,Satellite office placement
29,Female,Masters,Mombasa,Unemployed,3,18,13,Skills_Gap,My education didn't provide practical skills employers need,Apprenticeship placement
22,Male,Secondary,Nakuru,Employed,9,37,15,Resource_Constraints,Starting my own business requires capital I don't have,Transport subsidy
18,Male,Bachelor,Mombasa,Unemployed,11,40,32,Skills_Gap,My education didn't provide practical skills employers need,Technical training program
28,Female,Primary,Eldoret,Employed,7,1,35,Opportunity_Shortage,The job market in Eldoret is saturated with job seekers,Gig economy onboarding
28,Male,Bachelor,Kakamega,Self-employed,6,26,32,Opportunity_Shortage,Companies aren't hiring in my field right now,Public works program
33,Male,Bachelor,Eldoret,Unemployed,8,43,15,Resource_Constraints,Starting my own business requires capital I don't have,Startup capital support
30,Male,Secondary,Nairobi,Self-employed,3,12,28,Skills_Gap,I need additional training to qualify for available positions,Industry certifications
32,Male,Secondary,Nakuru,Unemployed,6,41,34,Skills_Gap,My education didn't provide practical skills employers need,Apprenticeship placement
31,Female,Primary,Eldoret,Employed,8,30,12,Opportunity_Shortage,Too many graduates are competing for too few positions,Job creation initiative
31,Female,Primary,Kakamega,Unemployed,0,2,15,Resource_Constraints,The cost of living while job hunting is too high,Startup capital support
29,Female,Secondary,Eldoret,Unemployed,10,22,9,Skills_Gap,My education didn't provide practical skills employers need,Apprenticeship placement
28,Female,Secondary,Kisumu,Unemployed,11,44,29,Skills_Gap,I lack the technical skills needed for jobs in my field,Apprenticeship placement
18,Female,Masters,Nakuru,Unemployed,12,14,7,Skills_Gap,I need additional training to qualify for available positions,Apprenticeship placement
26,Female,Diploma,Mombasa,Employed,12,12,4,Resource_Constraints,I need financial support to relocate where jobs are available,Startup capital support
32,Male,Secondary,Kakamega,Self-employed,7,25,29,Geographic_Barrier,Jobs in my field are only available far from where I live,Satellite office placement
33,Female,Primary,Mombasa,Unemployed,1,9,25,Skills_Gap,I lack the technical skills needed for jobs in my field,Apprenticeship placement
19,Female,Secondary,Nyeri,Unemployed,10,44,17,Resource_Constraints,I need financial support to relocate where jobs are available,Startup capital support
24,Female,Secondary,Mombasa,Unemployed,6,7,27,Skills_Gap,I lack the technical skills needed for jobs in my field,Technical training program
26,Male,Bachelor,Kisumu,Unemployed,0,19,34,Skills_Gap,I lack the technical skills needed for jobs in my field,Industry certifications
24,Male,Secondary,Mombasa,Unemployed,1,17,22,Skills_Gap,My education didn't provide practical skills employers need,Digital skills bootcamp
33,Female,Bachelor,Kisumu,Self-employed,0,3,15,Market_Mismatch,The industry I trained for is declining in Kenya,Career redirection counseling
27,Male,Primary,Nakuru,Unemployed,11,39,5,Geographic_Barrier,There's an urban-rural divide in job availability,Relocation support
30,Male,Bachelor,Nairobi,Unpaid work,6,31,11,Opportunity_Shortage,Companies aren't hiring in my field right now,Entrepreneurship support
18,Male,Secondary,Nyeri,Unemployed,11,24,31,Skills_Gap,I need additional training to qualify for available positions,Industry certifications
31,Female,Diploma,Machakos,Unemployed,9,30,13,Opportunity_Shortage,The economy isn't creating enough jobs for graduates,Gig economy onboarding
21,Male,Diploma,Machakos,Employed,13,33,22,Geographic_Barrier,There's an urban-rural divide in job availability,Commuter subsidy
32,Female,Diploma,Nakuru,Unpaid work,11,49,29,Geographic_Barrier,Jobs in my field are only available far from where I live,Satellite office placement
27,Female,Secondary,Kisumu,Unemployed,1,3,1,Skills_Gap,My education didn't provide practical skills employers need,Apprenticeship placement
24,Female,Secondary,Eldoret,Self-employed,7,29,26,Market_Mismatch,My skills are not valued in the current job market,Career redirection counseling
32,Male,Diploma,Eldoret,Self-employed,8,25,24,Skills_Gap,I lack the technical skills needed for jobs in my field,Technical training program
23,Female,Diploma,Kakamega,Employed,2,38,2,Resource_Constraints,The cost of living while job hunting is too high,Job search stipend
19,Female,Diploma,Kakamega,Student,6,3,6,Resource_Constraints,I lack resources to continue searching for jobs,Business incubation
21,Female,Secondary,Eldoret,Unemployed,8,36,26,Skills_Gap,I need additional training to qualify for available positions,Apprenticeship placement
26,Female,Primary,Kakamega,Unemployed,12,33,10,Skills_Gap,Companies want experience with technologies I haven't learned,Digital skills bootcamp
26,Male,Secondary,Nakuru,Unemployed,3,6,14,Resource_Constraints,The cost of living while job hunting is too high,Business incubation
26,Female,Diploma,Mombasa,Student,0,41,32,Resource_Constraints,I need financial support to relocate where jobs are available,Transport subsidy
22,Female,Bachelor,Kakamega,Employed,4,35,26,Opportunity_Shortage,Companies aren't hiring in my field right now,Gig economy onboarding
35,Male,Primary,Nairobi,Employed,11,19,12,Skills_Gap,My education didn't provide practical skills employers need,Apprenticeship placement
32,Female,Secondary,Kisumu,Self-employed,13,39,30,Market_Mismatch,The industry I trained for is declining in Kenya,Alternative career path mentorship
30,Male,Secondary,Nyeri,Self-employed,14,47,29,Geographic_Barrier,I can't relocate to where the jobs are available,Remote work opportunity
25,Female,Bachelor,Eldoret,Employed,6,19,14,Resource_Constraints,Starting my own business requires capital I don't have,Transport subsidy
21,Female,Primary,Machakos,Student,10,5,2,Resource_Constraints,I can't afford the transportation costs for interviews,Business incubation
22,Female,Secondary,Kakamega,Unemployed,13,2,28,Skills_Gap,My current skills are outdated for the modern job market in Kakamega,Industry certifications
18,Male,Secondary,Kisumu,Unemployed,10,26,31,Skills_Gap,My current skills are outdated for the modern job market in Kisumu,Industry certifications
35,Male,Masters,Kakamega,Self-employed,0,22,0,Geographic_Barrier,Jobs in my field are only available far from where I live,Commuter subsidy
21,Female,Primary,Kisumu,Employed,5,10,15,Skills_Gap,Companies want experience with technologies I haven't learned,Digital skills bootcamp
34,Female,Masters,Mombasa,Student,4,47,31,Market_Mismatch,My Masters qualification doesn't match what employers want,Alternative career path mentorship
26,Male,Secondary,Eldoret,Unemployed,14,30,20,Resource_Constraints,I can't afford the transportation costs for interviews,Startup capital support
31,Male,Bachelor,Machakos,Unemployed,12,23,22,Opportunity_Shortage,The job market in Machakos is saturated with job seekers,Job creation initiative
24,Female,Bachelor,Machakos,Employed,3,0,6,Geographic_Barrier,There's an urban-rural divide in job availability,Remote work opportunity
19,Female,Secondary,Kisumu,Unemployed,5,7,33,Opportunity_Shortage,The job market in Kisumu is saturated with job seekers,Job creation initiative
23,Female,Secondary,Kakamega,Unemployed,11,33,16,Opportunity_Shortage,The job market in Kakamega is saturated with job seekers,Gig economy onboarding
18,Female,Primary,Eldoret,Self-employed,1,31,34,Skills_Gap,My education didn't provide practical skills employers need,Technical training program
31,Male,Primary,Eldoret,Student,2,1,6,Skills_Gap,I lack the technical skills needed for jobs in my field,Industry certifications
26,Male,Bachelor,Kisumu,Employed,8,20,26,Geographic_Barrier,Remote work options are limited in my field,Relocation support
24,Male,Diploma,Nakuru,Employed,3,9,9,Resource_Constraints,I can't afford the transportation costs for interviews,Startup capital support
23,Female,Primary,Nyeri,Unemployed,14,26,3,Skills_Gap,My education didn't provide practical skills employers need,Industry certifications
26,Female,Bachelor,Eldoret,Self-employed,3,10,26,Skills_Gap,I lack the technical skills needed for jobs in my field,Technical training program
28,Female,Primary,Kisumu,Unemployed,12,31,7,Geographic_Barrier,Remote work options are limited in my field,Satellite office placement
27,Male,Bachelor,Eldoret,Employed,0,49,1,Skills_Gap,I lack the technical skills needed for jobs in my field,Industry certifications
19,Female,Primary,Kakamega,Employed,6,31,15,Resource_Constraints,Starting my own business requires capital I don't have,Business incubation
29,Female,Diploma,Machakos,Unemployed,8,31,15,Market_Mismatch,My skills are not valued in the current job market,Career redirection counseling
22,Male,Bachelor,Nyeri,Unemployed,9,18,19,Resource_Constraints,I can't afford the transportation costs for interviews,Transport subsidy
27,Female,Diploma,Nakuru,Unpaid work,12,23,14,Opportunity_Shortage,The job market in Nakuru is saturated with job seekers,Entrepreneurship support
29,Male,Primary,Machakos,Unemployed,13,12,7,Skills_Gap,My education didn't provide practical skills employers need,Industry certifications
35,Female,Secondary,Kakamega,Student,2,46,33,Resource_Constraints,I need financial support to relocate where jobs are available,Startup capital support
29,Female,Masters,Eldoret,Unemployed,12,36,29,Resource_Constraints,I need financial support to relocate where jobs are available,Job search stipend
19,Male,Diploma,Kisumu,Unemployed,0,19,1,Geographic_Barrier,Jobs in my field are only available far from where I live,Relocation support
18,Female,Primary,Kisumu,Self-employed,13,28,11,Opportunity_Shortage,The job market in Kisumu is saturated with job seekers,Gig economy onboarding
25,Female,Secondary,Kisumu,Unemployed,11,37,25,Resource_Constraints,I can't afford the transportation costs for interviews,Job search stipend
35,Female,Bachelor,Machakos,Unemployed,5,5,27,Opportunity_Shortage,Companies aren't hiring in my field right now,Job creation initiative
26,Male,Secondary,Kakamega,Unemployed,0,40,19,Opportunity_Shortage,The job market in Kakamega is saturated with job seekers,Entrepreneurship support
29,Female,Diploma,Eldoret,Unemployed,14,1,22,Resource_Constraints,I need financial support to relocate where jobs are available,Transport subsidy
21,Male,PhD,Machakos,Unpaid work,10,34,3,Resource_Constraints,I need financial support to relocate where jobs are available,Startup capital support
34,Female,Bachelor,Nyeri,Unemployed,6,18,24,Market_Mismatch,My field of study doesn't have many opportunities locally,Skill conversion training
27,Female,Secondary,Machakos,Student,4,42,20,Market_Mismatch,My field of study doesn't have many opportunities locally,Industry transition program
27,Male,Secondary,Kisumu,Unemployed,9,16,3,Skills_Gap,My education didn't provide practical skills employers need,Apprenticeship placement
25,Male,Diploma,Kakamega,Unemployed,14,4,1,Resource_Constraints,I lack resources to continue searching for jobs,Startup capital support
20,Male,Secondary,Mombasa,Self-employed,13,45,6,Market_Mismatch,The industry I trained for is declining in Kenya,Skill conversion training
20,Female,Secondary,Eldoret,Employed,8,47,26,Market_Mismatch,My field of study doesn't have many opportunities locally,Career redirection counseling
18,Male,Diploma,Kisumu,Self-employed,3,29,2,Opportunity_Shortage,Companies aren't hiring in my field right now,Public works program
19,Female,Secondary,Kisumu,Unemployed,8,16,0,Opportunity_Shortage,The economy isn't creating enough jobs for graduates,Entrepreneurship support
23,Female,Diploma,Nairobi,Unemployed,11,18,34,Opportunity_Shortage,Too many graduates are competing for too few positions,Entrepreneurship support
28,Female,Secondary,Nakuru,Unemployed,10,4,16,Skills_Gap,I need additional training to qualify for available positions,Industry certifications
19,Male,Secondary,Kisumu,Unemployed,9,20,31,Skills_Gap,Companies want experience with technologies I haven't learned,Industry certifications
23,Female,Secondary,Mombasa,Employed,1,40,11,Skills_Gap,I lack the technical skills needed for jobs in my field,Technical training program
29,Female,Secondary,Nyeri,Employed,9,11,19,Resource_Constraints,I can't afford the transportation costs for interviews,Job search stipend
30,Female,PhD,Machakos,Unpaid work,2,4,34,Opportunity_Shortage,Companies aren't hiring in my field right now,Public works program
22,Male,Primary,Mombasa,Unemployed,4,49,21,Opportunity_Shortage,The job market in Mombasa is saturated with job seekers,Gig economy onboarding
27,Female,Bachelor,Kakamega,Unemployed,5,35,28,Resource_Constraints,I need financial support to relocate where jobs are available,Startup capital support
25,Female,Masters,Nakuru,Employed,13,34,19,Resource_Constraints,I can't afford the transportation costs for interviews,Job search stipend
20,Female,Secondary,Kakamega,Employed,1,41,2,Geographic_Barrier,Jobs in my field are only available far from where I live,Remote work opportunity
27,Male,Secondary,Nakuru,Employed,0,13,4,Market_Mismatch,There's a disconnect between my education and available jobs,Career redirection counseling
34,Male,Diploma,Nairobi,Employed,0,7,15,Opportunity_Shortage,The economy isn't creating enough jobs for graduates,Public works program
32,Male,Secondary,Kakamega,Employed,0,37,28,Geographic_Barrier,Remote work options are limited in my field,Satellite office placement
20,Female,Primary,Nakuru,Employed,5,37,25,Opportunity_Shortage,Too many graduates are competing for too few positions,Gig economy onboarding
23,Female,Masters,Kakamega,Self-employed,6,39,18,Geographic_Barrier,Living in Kakamega limits my access to job opportunities,Satellite office placement
33,Female,Diploma,Nairobi,Self-employed,0,16,10,Resource_Constraints,I lack resources to continue searching for jobs,Transport subsidy
21,Male,Diploma,Kakamega,Unemployed,2,46,10,Resource_Constraints,I can't afford the transportation costs for interviews,Job search stipend
21,Female,Diploma,Nyeri,Unemployed,1,41,3,Market_Mismatch,The industry I trained for is declining in Kenya,Skill conversion training
22,Male,Primary,Nairobi,Unemployed,12,17,6,Resource_Constraints,I lack resources to continue searching for jobs,Transport subsidy
24,Female,Bachelor,Machakos,Unemployed,2,15,16,Geographic_Barrier,I can't relocate to where the jobs are available,Commuter subsidy
18,Female,Secondary,Machakos,Unemployed,11,11,14,Resource_Constraints,Starting my own business requires capital I don't have,Startup capital support
29,Female,Primary,Mombasa,Unemployed,2,42,4,Skills_Gap,I need additional training to qualify for available positions,Technical training program
27,Female,Secondary,Mombasa,Unemployed,6,38,4,Skills_Gap,My current skills are outdated for the modern job market in Mombasa,Digital skills bootcamp
29,Female,Diploma,Kisumu,Unemployed,2,26,30,Opportunity_Shortage,Too many graduates are competing for too few positions,Public works program
24,Male,Diploma,Machakos,Employed,1,15,16,Opportunity_Shortage,The job market in Machakos is saturated with job seekers,Job creation initiative
22,Male,Secondary,Kisumu,Unemployed,9,42,6,Skills_Gap,My current skills are outdated for the modern job market in Kisumu,Technical training program
20,Male,Diploma,Kisumu,Unemployed,0,31,17,Opportunity_Shortage,There are very few job openings in Kisumu,Entrepreneurship support
22,Female,Primary,Mombasa,Self-employed,8,11,6,Market_Mismatch,There's a disconnect between my education and available jobs,Alternative career path mentorship
28,Male,Secondary,Eldoret,Unemployed,12,25,19,Opportunity_Shortage,Too many graduates are competing for too few positions,Gig economy onboarding
19,Male,Bachelor,Kisumu,Unemployed,0,21,9,Opportunity_Shortage,There are very few job openings in Kisumu,Gig economy onboarding
21,Female,Secondary,Mombasa,Student,3,35,25,Opportunity_Shortage,The economy isn't creating enough jobs for graduates,Gig economy onboarding
31,Female,Bachelor,Kisumu,Employed,0,19,20,Market_Mismatch,My field of study doesn't have many opportunities locally,Alternative career path mentorship
27,Female,Diploma,Machakos,Unemployed,12,2,1,Opportunity_Shortage,There are very few job openings in Machakos,Entrepreneurship support
19,Female,Primary,Kisumu,Unemployed,12,27,0,Resource_Constraints,I can't afford the transportation costs for interviews,Job search stipend
24,Female,Bachelor,Kisumu,Self-employed,7,47,33,Opportunity_Shortage,The job market in Kisumu is saturated with job seekers,Job creation initiative
25,Female,Diploma,Machakos,Unemployed,7,37,12,Skills_Gap,My education didn't provide practical skills employers need,Industry certifications
34,Male,Secondary,Mombasa,Unemployed,7,27,2,Skills_Gap,Companies want experience with technologies I haven't learned,Apprenticeship placement
26,Male,Bachelor,Kisumu,Unemployed,10,6,22,Resource_Constraints,I lack resources to continue searching for jobs,Startup capital support
24,Male,Bachelor,Mombasa,Employed,14,37,22,Opportunity_Shortage,The job market in Mombasa is saturated with job seekers,Entrepreneurship support
24,Male,Bachelor,Machakos,Employed,9,5,34,Market_Mismatch,The industry I trained for is declining in Kenya,Alternative career path mentorship
26,Male,Secondary,Machakos,Self-employed,12,30,15,Market_Mismatch,My field of study doesn't have many opportunities locally,Skill conversion training
28,Female,Diploma,Nyeri,Unemployed,4,10,1,Resource_Constraints,Starting my own business requires capital I don't have,Startup capital support
22,Female,Secondary,Mombasa,Unemployed,12,46,13,Skills_Gap,Companies want experience with technologies I haven't learned,Digital skills bootcamp
31,Female,Secondary,Mombasa,Unemployed,7,16,34,Skills_Gap,My current skills are outdated for the modern job market in Mombasa,Apprenticeship placement
21,Male,Secondary,Kakamega,Employed,13,3,14,Skills_Gap,I need additional training to qualify for available positions,Technical training program
25,Female,Masters,Machakos,Employed,10,15,24,Opportunity_Shortage,Too many graduates are competing for too few positions,Job creation initiative
35,Female,Bachelor,Kisumu,Employed,2,14,1,Opportunity_Shortage,There are very few job openings in Kisumu,Public works program
32,Male,Primary,Kakamega,Self-employed,10,25,29,Geographic_Barrier,Jobs in my field are only available far from where I live,Commuter subsidy
28,Male,Secondary,Nyeri,Unemployed,6,43,31,Skills_Gap,I need additional training to qualify for available positions,Digital skills bootcamp
24,Male,Secondary,Kakamega,Unemployed,8,33,24,Skills_Gap,Companies want experience with technologies I haven't learned,Digital skills bootcamp
19,Female,Secondary,Machakos,Self-employed,3,2,30,Geographic_Barrier,Jobs in my field are only available far from where I live,Commuter subsidy
28,Female,Bachelor,Nyeri,Employed,2,12,21,Resource_Constraints,I can't afford the transportation costs for interviews,Transport subsidy
33,Male,Secondary,Kisumu,Unemployed,7,4,19,Skills_Gap,Companies want experience with technologies I haven't learned,Industry certifications
34,Female,Masters,Machakos,Unemployed,14,42,25,Opportunity_Shortage,The economy isn't creating enough jobs for graduates,Job creation initiative
28,Female,Masters,Mombasa,Employed,2,0,13,Market_Mismatch,My field of study doesn't have many opportunities locally,Career redirection counseling
18,Female,Bachelor,Mombasa,Unpaid work,5,27,13,Opportunity_Shortage,The economy isn't creating enough jobs for graduates,Gig economy onboarding
22,Male,PhD,Nairobi,Unemployed,3,9,34,Opportunity_Shortage,Companies aren't hiring in my field right now,Gig economy onboarding
28,Male,Secondary,Nairobi,Self-employed,2,32,18,Resource_Constraints,I need financial support to relocate where jobs are available,Job search stipend
34,Male,Bachelor,Mombasa,Student,4,5,13,Skills_Gap,I need additional training to qualify for available positions,Digital skills bootcamp
24,Male,Secondary,Nairobi,Unemployed,11,11,21,Skills_Gap,My current skills are outdated for the modern job market in Nairobi,Apprenticeship placement
29,Female,Secondary,Machakos,Unemployed,10,25,24,Opportunity_Shortage,There are very few job openings in Machakos,Public works program
28,Male,Bachelor,Kakamega,Unemployed,8,21,29,Geographic_Barrier,Jobs in my field are only available far from where I live,Commuter subsidy
26,Female,Secondary,Kisumu,Student,5,39,33,Market_Mismatch,My Secondary qualification doesn't match what employers want,Career redirection counseling
21,Male,Masters,Machakos,Student,13,16,12,Geographic_Barrier,Living in Machakos limits my access to job opportunities,Satellite office placement
28,Female,Secondary,Nakuru,Unemployed,2,5,16,Skills_Gap,My current skills are outdated for the modern job market in Nakuru,Technical training program
25,Male,Masters,Eldoret,Student,9,38,5,Opportunity_Shortage,There are very few job openings in Eldoret,Gig economy onboarding
33,Male,Secondary,Nakuru,Unemployed,5,38,22,Resource_Constraints,I lack resources to continue searching for jobs,Startup capital support
27,Female,Secondary,Kisumu,Employed,13,44,25,Resource_Constraints,I need financial support to relocate where jobs are available,Business incubation
22,Female,Bachelor,Nairobi,Student,14,4,0,Opportunity_Shortage,The job market in Nairobi is saturated with job seekers,Job creation initiative
21,Female,Secondary,Nyeri,Unemployed,11,48,7,Geographic_Barrier,Living in Nyeri limits my access to job opportunities,Commuter subsidy
29,Male,Masters,Machakos,Self-employed,13,34,12,Resource_Constraints,The cost of living while job hunting is too high,Business incubation
32,Male,Primary,Mombasa,Employed,1,44,4,Market_Mismatch,The industry I trained for is declining in Kenya,Alternative career path mentorship
21,Female,Primary,Nyeri,Unemployed,3,36,17,Skills_Gap,I lack the technical skills needed for jobs in my field,Apprenticeship placement
22,Male,Diploma,Machakos,Unemployed,11,16,6,Skills_Gap,Companies want experience with technologies I haven't learned,Industry certifications
28,Male,Masters,Eldoret,Unemployed,5,21,23,Market_Mismatch,My field of study doesn't have many opportunities locally,Career redirection counseling
35,Male,Secondary,Kisumu,Unemployed,7,48,10,Skills_Gap,I lack the technical skills needed for jobs in my field,Apprenticeship placement
28,Female,Secondary,Kakamega,Self-employed,3,12,22,Skills_Gap,Companies want experience with technologies I haven't learned,Technical training program
25,Female,Secondary,Mombasa,Employed,14,6,30,Market_Mismatch,The industry I trained for is declining in Kenya,Skill conversion training
34,Female,PhD,Eldoret,Student,0,4,33,Resource_Constraints,Starting my own business requires capital I don't have,Job search stipend
34,Male,Bachelor,Nairobi,Unemployed,6,39,0,Skills_Gap,I lack the technical skills needed for jobs in my field,Apprenticeship placement
22,Female,Primary,Kisumu,Unemployed,14,13,23,Skills_Gap,Companies want experience with technologies I haven't learned,Industry certifications
24,Female,Diploma,Mombasa,Unemployed,1,11,26,Resource_Constraints,I need financial support to relocate where jobs are available,Startup capital support
21,Male,Primary,Mombasa,Student,8,45,12,Market_Mismatch,My skills are not valued in the current job market,Alternative career path mentorship
22,Male,Diploma,Nyeri,Unemployed,2,32,4,Opportunity_Shortage,The job market in Nyeri is saturated with job seekers,Job creation initiative
18,Female,Masters,Eldoret,Unemployed,12,48,5,Opportunity_Shortage,The economy isn't creating enough jobs for graduates,Public works program
27,Male,Diploma,Kakamega,Unemployed,14,33,0,Market_Mismatch,The industry I trained for is declining in Kenya,Alternative career path mentorship
19,Male,Bachelor,Kakamega,Employed,9,21,2,Resource_Constraints,Starting my own business requires capital I don't have,Business incubation
23,Male,Primary,Machakos,Self-employed,1,3,12,Skills_Gap,My education didn't provide practical skills employers need,Technical training program
23,Male,Secondary,Nyeri,Employed,13,43,28,Skills_Gap,I need additional training to qualify for available positions,Apprenticeship placement
31,Male,Diploma,Eldoret,Student,5,32,31,Skills_Gap,I lack the technical skills needed for jobs in my field,Industry certifications
25,Female,Secondary,Eldoret,Employed,2,44,18,Skills_Gap,My education didn't provide practical skills employers need,Industry certifications
26,Male,Primary,Nakuru,Self-employed,5,40,35,Opportunity_Shortage,Too many graduates are competing for too few positions,Public works program
32,Female,Bachelor,Nairobi,Unpaid work,6,12,21,Opportunity_Shortage,Companies aren't hiring in my field right now,Entrepreneurship support
32,Male,Secondary,Machakos,Unemployed,4,8,10,Opportunity_Shortage,The economy isn't creating enough jobs for graduates,Public works program
32,Male,Secondary,Nakuru,Unpaid work,14,25,7,Market_Mismatch,My field of study doesn't have many opportunities locally,Career redirection counseling
21,Female,Secondary,Nyeri,Unpaid work,2,1,12,Opportunity_Shortage,The economy isn't creating enough jobs for graduates,Job creation initiative
22,Female,Secondary,Nyeri,Employed,11,48,10,Geographic_Barrier,Jobs in my field are only available far from where I live,Relocation support
29,Male,Secondary,Kisumu,Employed,0,18,18,Geographic_Barrier,There's an urban-rural divide in job availability,Commuter subsidy
34,Male,Bachelor,Nairobi,Unemployed,9,34,15,Opportunity_Shortage,There are very few job openings in Nairobi,Entrepreneurship support
23,Male,Diploma,Machakos,Employed,11,7,16,Opportunity_Shortage,Companies aren't hiring in my field right now,Public works program
30,Male,Diploma,Nyeri,Unemployed,0,39,26,Opportunity_Shortage,The economy isn't creating enough jobs for graduates,Public works program
21,Female,Masters,Nairobi,Employed,1,3,10,Geographic_Barrier,Living in Nairobi limits my access to job opportunities,Remote work opportunity
32,Female,Primary,Kisumu,Employed,0,46,33,Market_Mismatch,My skills are not valued in the current job market,Industry transition program
24,Male,Secondary,Nairobi,Unemployed,1,2,16,Opportunity_Shortage,Too many graduates are competing for too few positions,Entrepreneurship support
24,Male,Diploma,Nakuru,Unemployed,4,37,9,Opportunity_Shortage,Too many graduates are competing for too few positions,Public works program
30,Female,Secondary,Eldoret,Employed,13,10,9,Resource_Constraints,Starting my own business requires capital I don't have,Job search stipend
21,Female,Secondary,Kisumu,Employed,6,30,6,Skills_Gap,My education didn't provide practical skills employers need,Digital skills bootcamp
28,Male,Bachelor,Eldoret,Self-employed,13,34,23,Geographic_Barrier,Jobs in my field are only available far from where I live,Remote work opportunity
21,Male,Bachelor,Machakos,Unemployed,13,41,9,Skills_Gap,My education didn't provide practical skills employers need,Digital skills bootcamp
21,Female,Secondary,Nakuru,Unemployed,10,18,19,Geographic_Barrier,There's an urban-rural divide in job availability,Satellite office placement
20,Male,Bachelor,Eldoret,Self-employed,10,15,9,Skills_Gap,Companies want experience with technologies I haven't learned,Apprenticeship placement
30,Male,Bachelor,Mombasa,Unemployed,11,35,11,Market_Mismatch,My field of study doesn't have many opportunities locally,Alternative career path mentorship
33,Male,Secondary,Eldoret,Self-employed,9,32,26,Skills_Gap,I lack the technical skills needed for jobs in my field,Industry certifications
29,Male,Secondary,Kakamega,Employed,3,36,20,Market_Mismatch,My field of study doesn't have many opportunities locally,Skill conversion training
33,Female,Secondary,Nyeri,Self-employed,6,2,14,Market_Mismatch,My field of study doesn't have many opportunities locally,Industry transition program
33,Male,Bachelor,Nyeri,Employed,12,25,0,Market_Mismatch,There's a disconnect between my education and available jobs,Alternative career path mentorship
18,Female,Diploma,Nyeri,Unemployed,10,34,15,Opportunity_Shortage,Companies aren't hiring in my field right now,Job creation initiative
29,Male,Bachelor,Machakos,Employed,0,45,5,Skills_Gap,My current skills are outdated for the modern job market in Machakos,Apprenticeship placement
18,Male,Diploma,Kisumu,Unemployed,3,16,1,Market_Mismatch,My field of study doesn't have many opportunities locally,Alternative career path mentorship
34,Female,Bachelor,Nairobi,Unpaid work,10,32,3,Skills_Gap,I lack the technical skills needed for jobs in my field,Industry certifications
30,Male,Secondary,Nairobi,Self-employed,7,16,23,Resource_Constraints,I can't afford the transportation costs for interviews,Transport subsidy
19,Female,Masters,Mombasa,Employed,8,35,0,Market_Mismatch,My field of study doesn't have many opportunities locally,Career redirection counseling
30,Female,Primary,Eldoret,Self-employed,2,43,21,Geographic_Barrier,Living in Eldoret limits my access to job opportunities,Commuter subsidy
20,Male,Primary,Kakamega,Unemployed,14,19,11,Skills_Gap,My current skills are outdated for the modern job market in Kakamega,Technical training program
19,Male,Secondary,Eldoret,Student,6,28,15,Skills_Gap,Companies want experience with technologies I haven't learned,Industry certifications
24,Male,Secondary,Nakuru,Unemployed,13,30,30,Opportunity_Shortage,There are very few job openings in Nakuru,Gig economy onboarding
32,Male,Bachelor,Machakos,Unemployed,6,3,21,Opportunity_Shortage,There are very few job openings in Machakos,Gig economy onboarding
27,Female,Bachelor,Nakuru,Unemployed,6,13,32,Skills_Gap,My current skills are outdated for the modern job market in Nakuru,Technical training program
20,Male,Masters,Eldoret,Unpaid work,6,15,7,Skills_Gap,I need additional training to qualify for available positions,Technical training program
28,Male,Masters,Machakos,Unemployed,9,6,15,Opportunity_Shortage,Too many graduates are competing for too few positions,Entrepreneurship support
29,Male,Bachelor,Kisumu,Employed,9,29,19,Skills_Gap,Companies want experience with technologies I haven't learned,Industry certifications
25,Male,Bachelor,Eldoret,Student,5,16,8,Skills_Gap,I need additional training to qualify for available positions,Technical training program
33,Female,Secondary,Nairobi,Self-employed,1,43,11,Market_Mismatch,There's a disconnect between my education and available jobs,Career redirection counseling
25,Male,Primary,Machakos,Employed,3,6,7,Resource_Constraints,I need financial support to relocate where jobs are available,Business incubation
24,Male,Secondary,Nairobi,Unpaid work,5,14,21,Opportunity_Shortage,There are very few job openings in Nairobi,Gig economy onboarding
21,Female,Secondary,Mombasa,Unemployed,14,24,27,Opportunity_Shortage,Companies aren't hiring in my field right now,Job creation initiative
26,Male,Bachelor,Kakamega,Unpaid work,4,30,29,Market_Mismatch,There's a disconnect between my education and available jobs,Alternative career path mentorship
32,Female,Primary,Nakuru,Unemployed,1,3,15,Skills_Gap,My education didn't provide practical skills employers need,Digital skills bootcamp
28,Female,Primary,Machakos,Unemployed,1,27,29,Skills_Gap,Companies want experience with technologies I haven't learned,Industry certifications
29,Male,Secondary,Nyeri,Unpaid work,0,44,26,Resource_Constraints,I can't afford the transportation costs for interviews,Business incubation
23,Male,Primary,Eldoret,Unemployed,1,45,14,Skills_Gap,I need additional training to qualify for available positions,Digital skills bootcamp
19,Female,Diploma,Mombasa,Unemployed,10,12,35,Skills_Gap,I lack the technical skills needed for jobs in my field,Technical training program
